State,Jan-21,Feb-21,Mar-21
Alabama,4.3,4,3.8
Alaska,6.6,6.6,6.6
Arizona,6.7,6.9,6.7
Arkansas,4.6,4.5,4.4
California,9,8.5,8.3
Colorado,6.6,6.6,6.4
Connecticut,8.1,8.5,8.3
Delaware,6.1,6.3,6.5
District of Columbia,8.4,8.1,7.8
Florida,4.8,4.7,4.7
Georgia,5.1,4.8,4.5
Hawaii,10.3,9.2,9
Idaho,3.5,3.3,3.2
Illinois,7.7,7.4,7.1
Indiana,4.2,4,3.9
Iowa,3.6,3.6,3.7
Kansas,3.4,3.2,3.7
Kentucky,5.3,5.2,5
Louisiana,7.6,7.6,7.3
Maine,5.2,4.8,4.8
Maryland,6.4,6.2,6.2
Massachusetts,7.8,7.1,6.8
Michigan,5.7,5.2,5.1
Minnesota,4.5,4.3,4.2
Mississippi,6.4,6.3,6.3
Missouri,4.3,4.2,4.2
Montana,4,3.9,3.8
Nebraska,3.2,3.1,2.9
Nevada,8.5,8.3,8.1
New Hampshire,3.6,3.3,3
New Jersey,7.8,7.8,7.7
New Mexico,8.7,8.3,8.3
New York,8.8,8.9,8.5
North Carolina,5.9,5.7,5.2
North Dakota,4.5,4.7,4.4
Ohio,5.3,5,4.7
Oklahoma,4.4,4.4,4.2
Oregon,6.2,6.1,6
Pennsylvania,7.3,7.3,7.3
Rhode Island,7.2,7.3,7.1
South Carolina,5.3,5.2,5.1
South Dakota,3.1,2.9,2.9
Tennessee,5.1,4.9,5
Texas,6.8,6.9,6.9
Utah,3.1,3,2.9
Vermont,3.2,3.1,2.9
Virginia,5.3,5.2,5.1
Washington,6,5.6,5.4
West Virginia,6.5,6.2,5.9
Wisconsin,3.8,3.8,3.8
Wyoming,5.1,5.3,5.3
