RegionID,SizeRank,RegionName,RegionType,StateName,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021
9,0,California,State,CA,536002,540372,544112,547195,550222,553276,555809,556969,557137,557220,557351,556747,555920,554559,553730,554480,557083,560262,561880,562117,562187,562835,563769,565809,568825,572737,576716,580068,582013,583826,587595,593560,600506,607419,614392,621315,628079,635055
54,1,Texas,State,TX,192097,192917,193914,195025,196132,197195,198141,199096,199839,200651,201346,202246,203271,204213,204867,205305,205920,206629,207373,208000,208583,208817,209073,209287,209897,210361,211063,211715,212551,213439,214495,215769,217313,219232,221361,223631,225752,228255
43,2,New York,State,NY,301749,303231,304784,306261,307655,309071,310547,312025,313472,314644,315652,316551,317554,318571,319771,320814,321990,322917,323567,323887,323872,323727,323715,324108,324965,326033,327042,328210,329278,330643,332375,334552,337195,340259,343512,346770,349861,353068
14,3,Florida,State,FL,227506,228632,229966,231419,232933,234256,235546,236633,237677,238626,239627,240675,241625,242233,242597,242971,243483,244288,245274,245918,246358,246789,247410,248015,248806,249941,251224,252550,253830,255100,256402,258191,260325,262677,265055,267604,270305,273094
21,4,Illinois,State,IL,200742,201408,201796,202206,202788,203530,204038,204433,204792,205108,205442,205651,205868,206187,206576,207060,207608,208099,208405,208477,208167,207821,207574,207655,208231,208580,209128,209374,209797,210319,211215,212431,214075,215900,217807,219688,221372,223455
47,5,Pennsylvania,State,PA,180432,181319,182558,183634,184728,185395,185996,186478,187023,187499,188088,188676,189409,190188,190769,191319,192080,192990,193814,194362,194785,195198,195581,196064,196632,197405,198286,199332,200192,201277,202598,204330,206263,208387,210667,213058,215502,217984
44,6,Ohio,State,OH,136279,136925,137646,138623,139556,140401,141200,141809,142353,142862,143504,144221,145047,145858,146626,147170,147818,148513,149298,149903,150551,151109,151491,151999,152693,153569,154360,155200,156118,157133,158215,159608,161103,162790,164710,166639,168564,170492
30,7,Michigan,State,MI,156783,158028,159231,160309,161395,162660,163824,164837,165603,166311,166949,167786,168514,169265,169772,170370,171391,172661,173758,174212,174514,174770,175236,175649,176447,177264,178348,179366,180112,180710,181631,183244,185209,187354,189494,191730,193828,196088
16,8,Georgia,State,GA,183038,184424,185631,186853,188159,189550,190897,192164,193350,194512,195630,196642,197570,198392,199424,200440,201519,202358,203186,204043,204862,205553,205936,206378,207038,208047,209051,210062,211063,212288,213632,215126,216779,218701,221020,223526,226068,228599
36,9,North Carolina,State,NC,186307,187458,188532,189475,190483,191560,192764,193874,194912,195752,196698,197633,198644,199470,200279,201182,202082,203048,203917,204771,205606,206495,207381,208193,208842,209650,210568,211695,212888,214138,215560,217180,218997,221002,223150,225550,228263,231166
40,10,New Jersey,State,NJ,325638,327152,328474,329979,331019,332255,332996,333565,334076,334573,335170,335580,335985,336421,337076,337630,338788,339902,341124,341236,340715,340008,339709,340156,341258,342744,344319,345910,347313,349069,351188,354533,358690,363395,368133,372788,377346,382096
56,11,Virginia,State,VA,267649,268182,269073,269759,270780,271653,272536,273165,273687,274206,274825,275748,276686,277904,279030,280133,280949,281768,282606,283617,284626,285591,286079,286515,286981,287982,288982,290218,291528,293023,294675,296441,298432,300614,303301,306131,309134,311877
59,12,Washington,State,WA,374127,378116,381762,385316,388503,391064,392737,393817,395262,396657,397863,398430,399246,399451,399549,399713,401687,404077,406531,407832,409041,409950,411874,414809,418508,422052,425612,429139,431989,435031,438713,443959,449495,455614,461376,466865,472028,478015
26,13,Massachusetts,State,MA,404749,407298,409794,411713,413294,415122,417045,418391,418814,419252,419434,420290,420914,421271,421065,421495,422692,424551,425321,425557,425732,426102,426687,427621,429775,432001,434408,436226,438382,440195,443182,447370,452475,457983,463792,469558,474984,481088
22,14,Indiana,State,IN,139634,140385,141264,142253,143163,144093,145118,146082,146859,147404,148095,148949,150027,150813,151528,152056,152839,153563,154296,155029,155833,156652,157223,157650,158193,158961,159776,160616,161449,162419,163455,164610,165917,167401,169142,171040,172916,174901
8,15,Arizona,State,AZ,237052,238791,240428,242010,243642,245276,246771,248047,249415,250532,251485,252337,253332,254463,255472,256096,257246,258901,260814,262494,263711,265126,266496,268361,269836,271808,274114,277528,280304,282919,285676,289192,293384,297926,302958,308132,314038,319888
53,16,Tennessee,State,TN,168845,169965,170973,172009,172988,174061,175169,176208,177216,178170,178946,179696,180506,181307,182083,182803,183645,184468,185260,186124,187051,187987,188842,189673,190474,191585,192841,194207,195479,196820,198279,199825,201478,203280,205362,207597,209975,212236
32,17,Missouri,State,MO,151131,151786,152564,153435,154398,155223,156004,156744,157288,157802,158290,159000,159811,160625,161301,161863,162572,163232,163757,163972,164271,164619,165029,165430,166037,166760,167576,168333,169098,170047,171205,172688,174266,175931,177685,179488,181219,183031
27,18,Maryland,State,MD,301513,302247,303048,304449,305615,306705,307660,308177,308432,308539,308930,309491,310550,311304,311740,311840,312386,313114,313409,313546,313557,313719,313740,313880,314713,315404,316572,317390,318628,319934,321952,324481,327545,330810,334398,338230,341806,346091
60,19,Wisconsin,State,WI,175702,176805,177963,178966,180169,181102,182008,182670,183476,184251,185002,185649,186217,187101,188055,189117,189959,190793,191621,192415,193053,193848,194392,195163,195885,196911,197783,198718,199758,201025,202419,204070,205917,207800,210014,212212,214625,216861
31,20,Minnesota,State,MN,238348,239949,241544,242987,244203,245212,246185,247350,248367,249382,250162,251038,251941,252849,253482,254196,255156,256472,257719,258573,259450,260182,260855,261592,262302,263360,264496,265813,266978,268105,269470,271243,273199,275427,277903,280416,283092,285690
10,21,Colorado,State,CO,372932,375198,377232,379707,382572,385295,387743,389795,391697,393549,395484,396725,397500,398455,399270,400067,400525,401514,402618,403719,404668,405220,405711,406720,408493,410022,411621,413300,415481,417556,419973,422890,426283,430285,434662,439257,443927,449182
4,22,Alabama,State,AL,132770,133368,133890,134444,135059,135750,136480,137113,137654,138140,138690,139123,139618,140124,140662,141161,141673,142353,143060,143671,144116,144613,145228,146004,146775,147571,148393,149271,150206,151059,151939,153006,154307,155690,157059,158427,159865,161377
51,23,South Carolina,State,SC,175413,176416,177655,178638,179548,180326,181120,181943,182760,183480,184242,185048,185889,186667,187190,187764,188245,188898,189560,190238,190813,191371,191919,192544,193197,193831,194576,195347,196429,197510,198686,199940,201408,203068,204845,206684,208597,210727
25,24,Louisiana,State,LA,168256,168829,169057,169061,168925,169044,169074,169282,169316,169476,169338,169160,168903,168897,168995,169160,169591,170021,170440,170544,170649,170662,170859,171441,172082,172599,172956,173453,173894,174319,174841,175578,176428,177354,178309,179043,179812,180661
24,25,Kentucky,State,KY,136283,136964,137620,138155,138661,139208,139812,140290,140702,141073,141297,141662,142173,142911,143529,144134,144908,145738,146517,147095,147648,148144,148552,149076,149718,150366,150939,151473,152067,152677,153365,154354,155468,156743,158223,159644,160990,162358
46,26,Oregon,State,OR,338869,340854,343141,345230,347106,349059,351075,352520,353471,354071,355050,356198,357567,358398,358637,358864,359585,361009,362104,363094,363352,364237,364735,365955,367419,369111,371158,373074,375342,377299,379761,382789,386910,391030,395599,399899,404305,409182
45,27,Oklahoma,State,OK,122925,123133,123354,123537,123873,124095,124353,124590,124874,125215,125530,125886,126156,126663,127101,127524,127883,128457,129114,129704,130204,130679,131259,131800,132519,133099,133790,134471,135230,135928,136614,137412,138298,139221,140142,141140,142112,143173
