state,month,Rt_mean,Rt_median,Re_price,CPI_1mo,CPI_12mo,Ur_rate
Alabama,20-Jan,0.0,0.0,0,0.0,0.0,0.0
Alaska,20-Jan,0.0,0.0,0,0.0,0.0,0.0
Arizona,20-Jan,0.0,0.0,0,0.0,0.0,0.0
Arkansas,20-Jan,0.0,0.0,0,0.0,0.0,0.0
California,20-Jan,0.0,0.0,0,0.0,0.0,0.0
Colorado,20-Jan,0.0,0.0,0,0.0,0.0,0.0
Connecticut,20-Jan,0.0,0.0,0,0.0,0.0,0.0
Delaware,20-Jan,0.0,0.0,0,0.0,0.0,0.0
District of Columbia,20-Jan,0.0,0.0,0,0.0,0.0,0.0
Florida,20-Jan,0.0,0.0,0,0.0,0.0,0.0
Georgia,20-Jan,0.0,0.0,0,0.0,0.0,0.0
Hawaii,20-Jan,0.0,0.0,0,0.0,0.0,0.0
Idaho,20-Jan,0.0,0.0,0,0.0,0.0,0.0
Illinois,20-Jan,0.0,0.0,0,0.0,0.0,0.0
Indiana,20-Jan,0.0,0.0,0,0.0,0.0,0.0
Iowa,20-Jan,0.0,0.0,0,0.0,0.0,0.0
Kansas,20-Jan,0.0,0.0,0,0.0,0.0,0.0
Kentucky,20-Jan,0.0,0.0,0,0.0,0.0,0.0
Louisiana,20-Jan,0.0,0.0,0,0.0,0.0,0.0
Maine,20-Jan,0.0,0.0,0,0.0,0.0,0.0
Maryland,20-Jan,0.0,0.0,0,0.0,0.0,0.0
Massachusetts,20-Jan,0.0,0.0,0,0.0,0.0,0.0
Michigan,20-Jan,0.0,0.0,0,0.0,0.0,0.0
Minnesota,20-Jan,0.0,0.0,0,0.0,0.0,0.0
Mississippi,20-Jan,0.0,0.0,0,0.0,0.0,0.0
Missouri,20-Jan,0.0,0.0,0,0.0,0.0,0.0
Montana,20-Jan,0.0,0.0,0,0.0,0.0,0.0
Nebraska,20-Jan,0.0,0.0,0,0.0,0.0,0.0
Nevada,20-Jan,0.0,0.0,0,0.0,0.0,0.0
New Hampshire,20-Jan,0.0,0.0,0,0.0,0.0,0.0
New Jersey,20-Jan,0.0,0.0,0,0.0,0.0,0.0
New Mexico,20-Jan,0.0,0.0,0,0.0,0.0,0.0
New York,20-Jan,0.0,0.0,0,0.0,0.0,0.0
North Carolina,20-Jan,0.0,0.0,0,0.0,0.0,0.0
North Dakota,20-Jan,0.0,0.0,0,0.0,0.0,0.0
Ohio,20-Jan,0.0,0.0,0,0.0,0.0,0.0
Oklahoma,20-Jan,0.0,0.0,0,0.0,0.0,0.0
Oregon,20-Jan,0.0,0.0,0,0.0,0.0,0.0
Pennsylvania,20-Jan,0.0,0.0,0,0.0,0.0,0.0
Rhode Island,20-Jan,0.0,0.0,0,0.0,0.0,0.0
South Carolina,20-Jan,0.0,0.0,0,0.0,0.0,0.0
South Dakota,20-Jan,0.0,0.0,0,0.0,0.0,0.0
Tennessee,20-Jan,0.0,0.0,0,0.0,0.0,0.0
Texas,20-Jan,0.0,0.0,0,0.0,0.0,0.0
Utah,20-Jan,0.0,0.0,0,0.0,0.0,0.0
Vermont,20-Jan,0.0,0.0,0,0.0,0.0,0.0
Virginia,20-Jan,0.0,0.0,0,0.0,0.0,0.0
Washington,20-Jan,1.554545073,1.542580066,418508,0.003,0.029,0.04
West Virginia,20-Jan,0.0,0.0,0,0.0,0.0,0.0
Wisconsin,20-Jan,0.0,0.0,0,0.0,0.0,0.0
Wyoming,20-Jan,0.0,0.0,0,0.0,0.0,0.0
