state,month,Rt_mean,Rt_median,Re_price,CPI_1mo,CPI_12mo,Ur_rate
Alabama,20-Jul,0.924353029,0.920094271,151939,0.006,0.006,0.074
Alaska,20-Jul,0.938551014,0.936555518,279178,0.005,0.017,0.11
Arizona,20-Jul,0.835558704,0.833531287,285676,0.005,0.017,0.104
Arkansas,20-Jul,0.932305097,0.929504926,135135,0.006,0.006,0.071
California,20-Jul,0.961871476,0.960061997,587595,0.005,0.017,0.132
Colorado,20-Jul,0.903096536,0.901479652,419973,0.005,0.017,0.074
Connecticut,20-Jul,1.014207271,1.007929225,266552,0.004,0.011,0.113
Delaware,20-Jul,0.957031614,0.955315054,267436,0.006,0.006,0.083
District of Columbia,20-Jul,0.944623312,0.942997288,655687,0.006,0.006,0.089
Florida,20-Jul,0.922809803,0.920818478,256402,0.006,0.006,0.115
Georgia,20-Jul,0.955288671,0.954289005,213632,0.006,0.006,0.076
Hawaii,20-Jul,1.138355532,1.134494744,661758,0.005,0.017,0.141
Idaho,20-Jul,0.941137925,0.938384335,312347,0.005,0.017,0.059
Illinois,20-Jul,1.016174349,1.015524476,211215,0.005,0.007,0.12
Indiana,20-Jul,0.995620371,0.991417937,163455,0.005,0.007,0.086
Iowa,20-Jul,1.112320409,1.109669763,155987,0.005,0.007,0.061
Kansas,20-Jul,1.041359054,1.03993139,159405,0.005,0.007,0.066
Kentucky,20-Jul,1.00993696,1.011525148,153365,0.006,0.006,0.056
Louisiana,20-Jul,0.906562191,0.902546633,174841,0.006,0.006,0.091
Maine,20-Jul,1.042730981,1.03902361,257305,0.004,0.011,0.088
Maryland,20-Jul,0.930773984,0.9294197,321952,0.006,0.006,0.087
Massachusetts,20-Jul,0.881874012,0.879322066,443182,0.004,0.011,0.098
Michigan,20-Jul,1.010658114,1.007716724,181631,0.005,0.007,0.09
Minnesota,20-Jul,1.077990993,1.075933241,269470,0.005,0.007,0.076
Mississippi,20-Jul,0.89555173,0.891718092,130223,0.006,0.006,0.085
Missouri,20-Jul,0.992347329,0.99415326,171205,0.005,0.007,0.068
Montana,20-Jul,0.991139356,0.988736148,303081,0.005,0.017,0.066
Nebraska,20-Jul,1.021680658,1.020438357,184418,0.005,0.007,0.044
Nevada,20-Jul,0.940009133,0.939171055,316992,0.005,0.017,0.166
New Hampshire,20-Jul,0.938055936,0.936819428,308064,0.004,0.011,0.081
New Jersey,20-Jul,0.991568793,0.989842791,351188,0.004,0.011,0.131
New Mexico,20-Jul,0.91438039,0.912903689,214056,0.005,0.017,0.125
New York,20-Jul,0.944001354,0.944396688,332375,0.004,0.011,0.147
North Carolina,20-Jul,0.996480543,0.995236315,215560,0.006,0.006,0.088
North Dakota,20-Jul,1.153791893,1.150059476,234776,0.005,0.007,0.062
Ohio,20-Jul,0.943865782,0.943635901,158215,0.005,0.007,0.093
Oklahoma,20-Jul,0.966003978,0.964603692,136614,0.006,0.006,0.072
Oregon,20-Jul,0.920764056,0.919890315,379761,0.005,0.017,0.096
Pennsylvania,20-Jul,0.966756079,0.963831144,202598,0.004,0.011,0.13
Rhode Island,20-Jul,0.900219008,0.899531892,314151,0.004,0.011,0.14
South Carolina,20-Jul,0.940648048,0.939545355,198686,0.006,0.006,0.076
South Dakota,20-Jul,1.190350618,1.189257083,219992,0.005,0.007,0.054
Tennessee,20-Jul,0.926060603,0.924774968,198279,0.006,0.006,0.089
Texas,20-Jul,0.937059889,0.934212504,214495,0.006,0.006,0.093
Utah,20-Jul,0.979354863,0.976949585,369959,0.005,0.017,0.054
Vermont,20-Jul,0.950627099,0.946596066,264425,0.004,0.011,0.064
Virginia,20-Jul,0.965564072,0.964153568,294675,0.006,0.006,0.079
Washington,20-Jul,0.912983197,0.912496198,438713,0.005,0.017,0.108
West Virginia,20-Jul,0.974156927,0.974202795,109166,0.006,0.006,0.094
Wisconsin,20-Jul,0.985828909,0.982871443,202419,0.005,0.007,0.072
Wyoming,20-Jul,0.964896751,0.961422794,255535,0.005,0.017,0.068
