state,month,Rt_mean,Rt_median,Re_price,CPI_1mo,CPI_12mo,Ur_rate
Alabama,20-Aug,0.949108011,0.948909428,153006,0.004,0.011,0.071
Alaska,20-Aug,1.094478318,1.092699978,278691,0.003,0.019,0.072
Arizona,20-Aug,0.980480563,0.979693547,289192,0.003,0.019,0.07
Arkansas,20-Aug,1.00567586,1.001443901,135870,0.004,0.011,0.065
California,20-Aug,0.904072247,0.901318661,593560,0.003,0.019,0.123
Colorado,20-Aug,1.092834121,1.091060832,422890,0.003,0.019,0.071
Connecticut,20-Aug,1.072374503,1.066135419,269422,0.001,0.011,0.084
Delaware,20-Aug,1.099018292,1.093548112,269517,0.004,0.011,0.079
District of Columbia,20-Aug,0.954106481,0.952075642,658418,0.004,0.011,0.088
Florida,20-Aug,0.963092674,0.962034808,258191,0.004,0.011,0.079
Georgia,20-Aug,0.918450783,0.918617353,215126,0.004,0.011,0.07
Hawaii,20-Aug,0.906657223,0.904264887,662996,0.003,0.019,0.141
Idaho,20-Aug,1.084709993,1.083067632,316557,0.003,0.019,0.049
Illinois,20-Aug,0.941974606,0.940776229,212431,0.004,0.011,0.111
Indiana,20-Aug,1.032329676,1.029798102,164610,0.004,0.011,0.073
Iowa,20-Aug,0.996207601,0.993300242,156418,0.004,0.011,0.053
Kansas,20-Aug,1.001226094,0.996695519,160415,0.004,0.011,0.062
Kentucky,20-Aug,1.001623877,0.998560133,154354,0.004,0.011,0.055
Louisiana,20-Aug,0.933609228,0.932325679,175578,0.004,0.011,0.082
Maine,20-Aug,0.969476075,0.966450713,259742,0.001,0.011,0.052
Maryland,20-Aug,0.9848298,0.98580369,324481,0.004,0.011,0.086
Massachusetts,20-Aug,1.152288531,1.148811373,447370,0.001,0.011,0.093
Michigan,20-Aug,1.003077969,1.001438179,183244,0.004,0.011,0.085
Minnesota,20-Aug,0.985658427,0.983932428,271243,0.004,0.011,0.066
Mississippi,20-Aug,0.921691206,0.919465624,130713,0.004,0.011,0.078
Missouri,20-Aug,1.018943676,1.017025579,172688,0.004,0.011,0.06
Montana,20-Aug,1.126575266,1.125095316,305232,0.003,0.019,0.058
Nebraska,20-Aug,1.049072248,1.045691034,185514,0.004,0.011,0.04
Nevada,20-Aug,1.001750824,1.001223432,319856,0.003,0.019,0.145
New Hampshire,20-Aug,1.115951069,1.112855877,311294,0.001,0.011,0.066
New Jersey,20-Aug,1.072253181,1.072337872,354533,0.001,0.011,0.11
New Mexico,20-Aug,1.069484116,1.070203135,215855,0.003,0.019,0.093
New York,20-Aug,1.051183626,1.049841491,334552,0.001,0.011,0.117
North Carolina,20-Aug,1.014368692,1.013984683,217180,0.004,0.011,0.068
North Dakota,20-Aug,1.098043584,1.099135703,234988,0.004,0.011,0.061
Ohio,20-Aug,0.913048482,0.912542716,159608,0.004,0.011,0.09
Oklahoma,20-Aug,0.984878907,0.982132953,137412,0.004,0.011,0.063
Oregon,20-Aug,1.055272291,1.052575233,382789,0.003,0.019,0.084
Pennsylvania,20-Aug,1.014491888,1.012888394,204330,0.001,0.011,0.102
Rhode Island,20-Aug,1.105751797,1.105942132,317064,0.001,0.011,0.126
South Carolina,20-Aug,0.885979482,0.884381888,199940,0.004,0.011,0.054
South Dakota,20-Aug,1.033680363,1.03493591,221053,0.004,0.011,0.047
Tennessee,20-Aug,0.956248142,0.955170435,199825,0.004,0.011,0.081
Texas,20-Aug,0.991184961,0.990230221,215769,0.004,0.011,0.069
Utah,20-Aug,1.10893714,1.108194376,373920,0.003,0.019,0.048
Vermont,20-Aug,1.097411119,1.091401853,265434,0.001,0.011,0.054
Virginia,20-Aug,0.928618227,0.925745917,296441,0.004,0.011,0.07
Washington,20-Aug,0.999333408,0.998177179,443959,0.003,0.019,0.091
West Virginia,20-Aug,1.022054594,1.021868253,109497,0.004,0.011,0.085
Wisconsin,20-Aug,1.243471913,1.239716121,204070,0.004,0.011,0.061
Wyoming,20-Aug,1.231693343,1.225575317,256268,0.003,0.019,0.062
