state,month,Rt_mean,Rt_median,Re_price,CPI_1mo,CPI_12mo,Ur_rate
Alabama,20-Dec,0.925874031,0.925748004,158427,0.002,0.014,0.047
Alaska,20-Dec,0.843503409,0.840881595,286748,-0.001,0.015,0.065
Arizona,20-Dec,0.989778075,0.987766928,308132,-0.001,0.015,0.068
Arkansas,20-Dec,0.928139435,0.926453315,139767,0.002,0.014,0.049
California,20-Dec,0.8519226,0.850724909,621315,-0.001,0.015,0.093
Colorado,20-Dec,0.926947948,0.929040914,439257,-0.001,0.015,0.069
Connecticut,20-Dec,0.969218839,0.962641467,284967,0.002,0.014,0.082
Delaware,20-Dec,0.979511513,0.978282275,280215,0.002,0.014,0.059
District of Columbia,20-Dec,0.942269535,0.938336169,670577,0.002,0.014,0.088
Florida,20-Dec,0.964207083,0.960280653,267604,0.002,0.014,0.051
Georgia,20-Dec,0.881964382,0.878704827,223526,0.002,0.014,0.053
Hawaii,20-Dec,1.113640755,1.030809748,679433,-0.001,0.015,0.103
Idaho,20-Dec,0.863325595,0.864466811,342294,-0.001,0.015,0.038
Illinois,20-Dec,0.857897757,0.855869572,219688,0.001,0.011,0.08
Indiana,20-Dec,0.879046026,0.876787555,171040,0.001,0.011,0.046
Iowa,20-Dec,0.909603011,0.906220257,159179,0.001,0.011,0.037
Kansas,20-Dec,0.938975557,0.935838977,166119,0.001,0.011,0.047
Kentucky,20-Dec,0.979596621,0.97802353,159644,0.002,0.014,0.056
Louisiana,20-Dec,0.904014125,0.903556366,179043,0.002,0.014,0.079
Maine,20-Dec,0.967161975,0.966688988,272995,0.002,0.014,0.05
Maryland,20-Dec,0.96405895,0.963041885,338230,0.002,0.014,0.068
Massachusetts,20-Dec,0.94119408,0.941033313,469558,0.002,0.014,0.084
Michigan,20-Dec,0.917687913,0.91381585,191730,0.001,0.011,0.082
Minnesota,20-Dec,0.921463624,0.918271914,280416,0.001,0.011,0.047
Mississippi,20-Dec,1.008738199,1.007878723,133760,0.002,0.014,0.066
Missouri,20-Dec,0.891652162,0.892566407,179488,0.001,0.011,0.044
Montana,20-Dec,0.866662768,0.864942477,319735,-0.001,0.015,0.042
Nebraska,20-Dec,0.884332495,0.882531673,191958,0.001,0.011,0.034
Nevada,20-Dec,0.950403119,0.94943711,332267,-0.001,0.015,0.082
New Hampshire,20-Dec,0.964384694,0.962623777,328724,0.002,0.014,0.038
New Jersey,20-Dec,0.957499946,0.953448039,372788,0.002,0.014,0.077
New Mexico,20-Dec,0.863101966,0.86146177,226057,-0.001,0.015,0.086
New York,20-Dec,0.926561431,0.92686367,346770,0.002,0.014,0.087
North Carolina,20-Dec,0.925875236,0.925160757,225550,0.002,0.014,0.061
North Dakota,20-Dec,0.98093497,0.981838817,238452,0.001,0.011,0.047
Ohio,20-Dec,0.890805045,0.889259375,166639,0.001,0.011,0.056
Oklahoma,20-Dec,1.003675707,0.99762243,141140,0.002,0.014,0.045
Oregon,20-Dec,0.918457344,0.916111888,399899,-0.001,0.015,0.063
Pennsylvania,20-Dec,0.892243732,0.890125789,213058,0.002,0.014,0.071
Rhode Island,20-Dec,0.925509437,0.923086169,334345,0.002,0.014,0.079
South Carolina,20-Dec,0.903471194,0.900074958,206684,0.002,0.014,0.056
South Dakota,20-Dec,0.884054978,0.87960305,226882,0.001,0.011,0.033
Tennessee,20-Dec,0.8713249,0.86847546,207597,0.002,0.014,0.056
Texas,20-Dec,0.934880518,0.930918838,223631,0.002,0.014,0.069
Utah,20-Dec,0.93448822,0.93509778,395882,-0.001,0.015,0.033
Vermont,20-Dec,1.093592907,1.093393183,273542,0.002,0.014,0.035
Virginia,20-Dec,1.034145338,1.029290116,306131,0.002,0.014,0.056
Washington,20-Dec,0.97134141,0.9701399,466865,-0.001,0.015,0.063
West Virginia,20-Dec,0.889254794,0.888958861,112097,0.002,0.014,0.067
Wisconsin,20-Dec,0.8823409,0.880508192,212212,0.001,0.011,0.04
Wyoming,20-Dec,0.962354134,0.963539183,260643,-0.001,0.015,0.052
