state,month,Rt_mean,Rt_median,Re_price,CPI_1mo,CPI_12mo,Ur_rate
Alabama,20-Feb,0.0,0.0,0,0.0,0.0,0.0
Alaska,20-Feb,0.0,0.0,0,0.0,0.0,0.0
Arizona,20-Feb,2.666557149,2.64575118,271808,0.004,0.031,0.049
Arkansas,20-Feb,0.0,0.0,0,0.0,0.0,0.0
California,20-Feb,2.543753624,2.537658466,572737,0.004,0.031,0.043
Colorado,20-Feb,2.404842135,2.395782937,410022,0.004,0.031,0.028
Connecticut,20-Feb,3.059434431,3.025743009,259980,0.003,0.024,0.037
Delaware,20-Feb,0.0,0.0,0,0.0,0.0,0.0
District of Columbia,20-Feb,2.292508604,2.274184318,652783,0.002,0.019,0.05
Florida,20-Feb,3.480920568,3.469027369,249941,0.002,0.019,0.033
Georgia,20-Feb,2.939400764,2.934089284,208047,0.002,0.019,0.035
Hawaii,20-Feb,1.346970931,1.340110354,654160,0.004,0.031,0.021
Idaho,20-Feb,0.0,0.0,0,0.0,0.0,0.0
Illinois,20-Feb,3.703260484,3.682756951,208580,0.003,0.021,0.036
Indiana,20-Feb,3.389733936,3.370306876,158961,0.003,0.021,0.032
Iowa,20-Feb,2.059973687,2.040763828,154563,0.003,0.021,0.029
Kansas,20-Feb,2.167912567,2.145383323,155746,0.003,0.021,0.032
Kentucky,20-Feb,2.224364842,2.2163023,150366,0.002,0.019,0.042
Louisiana,20-Feb,3.296661865,3.273475568,172599,0.002,0.019,0.052
Maine,20-Feb,0.0,0.0,0,0.0,0.0,0.0
Maryland,20-Feb,2.916288401,2.89722731,315404,0.002,0.019,0.035
Massachusetts,20-Feb,0.0,0.0,0,0.0,0.0,0.0
Michigan,20-Feb,2.317413131,2.314780782,177264,0.003,0.021,0.037
Minnesota,20-Feb,1.535342125,1.524205601,263360,0.003,0.021,0.033
Mississippi,20-Feb,0.0,0.0,0,0.0,0.0,0.0
Missouri,20-Feb,2.903623342,2.884184436,166760,0.003,0.021,0.036
Montana,20-Feb,0.0,0.0,0,0.0,0.0,0.0
Nebraska,20-Feb,1.817066137,1.800059961,180967,0.003,0.021,0.03
Nevada,20-Feb,2.317951498,2.296917469,309615,0.004,0.031,0.037
New Hampshire,20-Feb,1.767439732,1.741404623,298335,0.003,0.024,0.026
New Jersey,20-Feb,4.118374833,4.086021576,342744,0.003,0.024,0.037
New Mexico,20-Feb,1.937007687,1.928905884,207386,0.004,0.031,0.053
New York,20-Feb,5.110778569,5.097099383,326033,0.003,0.024,0.039
North Carolina,20-Feb,2.510214785,2.500233952,209650,0.002,0.019,0.036
North Dakota,20-Feb,0.0,0.0,0,0.0,0.0,0.0
Ohio,20-Feb,2.845082671,2.836841549,153569,0.003,0.021,0.047
Oklahoma,20-Feb,2.038393936,2.028544906,133099,0.002,0.019,0.031
Oregon,20-Feb,1.91897097,1.914281842,369111,0.004,0.031,0.035
Pennsylvania,20-Feb,3.286857899,3.280121633,197405,0.003,0.024,0.05
Rhode Island,20-Feb,2.505181534,2.511698902,304888,0.003,0.024,0.04
South Carolina,20-Feb,2.492198885,2.470712063,193831,0.002,0.019,0.028
South Dakota,20-Feb,0.0,0.0,0,0.0,0.0,0.0
Tennessee,20-Feb,2.652854789,2.649236961,191585,0.002,0.019,0.039
Texas,20-Feb,2.974966969,2.958615417,210361,0.002,0.019,0.037
Utah,20-Feb,2.345015405,2.326490371,355665,0.004,0.031,0.025
Vermont,20-Feb,0.0,0.0,0,0.0,0.0,0.0
Virginia,20-Feb,2.392926197,2.37598553,287982,0.002,0.019,0.025
Washington,20-Feb,2.068443479,2.06461063,422052,0.004,0.031,0.041
West Virginia,20-Feb,0.0,0.0,0,0.0,0.0,0.0
Wisconsin,20-Feb,2.273597898,2.26205215,196911,0.003,0.021,0.033
Wyoming,20-Feb,0.0,0.0,0,0.0,0.0,0.0
