state,month,Rt_mean,Rt_median,Re_price,CPI_1mo,CPI_12mo,Ur_rate
Alabama,20-Mar,1.014886685,1.013430982,148393,-0.001,0.011,0.026
Alaska,20-Mar,0.774869193,0.773879863,283698,-0.002,0.025,0.051
Arizona,20-Mar,1.082352399,1.079318576,274114,-0.002,0.025,0.05
Arkansas,20-Mar,1.141752803,1.136744311,133014,-0.001,0.011,0.039
California,20-Mar,1.073588057,1.071352247,576716,-0.002,0.025,0.045
Colorado,20-Mar,1.030346082,1.029956549,411621,-0.002,0.025,0.047
Connecticut,20-Mar,1.197399137,1.195344654,260910,-0.02,0.017,0.038
Delaware,20-Mar,1.309897756,1.306397196,259820,-0.001,0.011,0.048
District of Columbia,20-Mar,1.147418643,1.142684975,654578,-0.001,0.011,0.052
Florida,20-Mar,0.86505628,0.863837111,251224,-0.001,0.011,0.049
Georgia,20-Mar,0.982834471,0.982055524,209051,-0.001,0.011,0.036
Hawaii,20-Mar,0.729452039,0.725908847,654590,-0.002,0.025,0.021
Idaho,20-Mar,0.812479324,0.811415676,299912,-0.002,0.025,0.027
Illinois,20-Mar,1.126098098,1.125016943,209128,-0.005,0.01,0.037
Indiana,20-Mar,1.011780138,1.011640271,159776,-0.005,0.01,0.033
Iowa,20-Mar,1.350943945,1.350037999,154648,-0.005,0.01,0.029
Kansas,20-Mar,1.28690237,1.286550952,156385,-0.005,0.01,0.032
Kentucky,20-Mar,1.218167401,1.218381161,150939,-0.001,0.011,0.042
Louisiana,20-Mar,0.784470252,0.784742219,172956,-0.001,0.011,0.053
Maine,20-Mar,0.994578059,0.995253703,250383,-0.02,0.017,0.031
Maryland,20-Mar,1.090270036,1.087581141,316572,-0.001,0.011,0.035
Massachusetts,20-Mar,0.957592412,0.956149138,434408,-0.02,0.017,0.027
Michigan,20-Mar,0.883335105,0.880346951,178348,-0.005,0.01,0.037
Minnesota,20-Mar,1.443554722,1.442140062,264496,-0.005,0.01,0.035
Mississippi,20-Mar,1.164372585,1.163506134,128907,-0.001,0.011,0.06
Missouri,20-Mar,0.973731813,0.971668915,167576,-0.005,0.01,0.037
Montana,20-Mar,0.674510272,0.673808144,296910,-0.002,0.025,0.038
Nebraska,20-Mar,1.492989645,1.488970716,181709,-0.005,0.01,0.031
Nevada,20-Mar,0.946633226,0.942718281,311709,-0.002,0.025,0.064
New Hampshire,20-Mar,1.132513365,1.130164269,300730,-0.02,0.017,0.027
New Jersey,20-Mar,0.978139682,0.977013844,344319,-0.02,0.017,0.038
New Mexico,20-Mar,1.218842443,1.216422467,208494,-0.002,0.025,0.054
New York,20-Mar,0.794738475,0.792304502,327042,-0.02,0.017,0.039
North Carolina,20-Mar,1.09198684,1.090533727,210568,-0.001,0.011,0.039
North Dakota,20-Mar,1.065033409,1.064007328,233516,-0.005,0.01,0.023
Ohio,20-Mar,1.161449946,1.160818453,154360,-0.005,0.01,0.049
Oklahoma,20-Mar,1.048906299,1.046167336,133790,-0.001,0.011,0.032
Oregon,20-Mar,0.964100347,0.961841737,371158,-0.002,0.025,0.036
Pennsylvania,20-Mar,1.007757049,1.004561611,198286,-0.02,0.017,0.051
Rhode Island,20-Mar,1.28210792,1.279880043,306483,-0.02,0.017,0.04
South Carolina,20-Mar,1.027627472,1.025763321,194576,-0.001,0.011,0.03
South Dakota,20-Mar,1.389362518,1.387394807,217508,-0.005,0.01,0.029
Tennessee,20-Mar,1.033634837,1.032730744,192841,-0.001,0.011,0.04
Texas,20-Mar,1.101404863,1.099188709,211063,-0.001,0.011,0.049
Utah,20-Mar,0.894577757,0.892810781,358201,-0.002,0.025,0.025
Vermont,20-Mar,0.710502443,0.708725705,260891,-0.02,0.017,0.026
Virginia,20-Mar,1.268347549,1.264661641,288982,-0.001,0.011,0.026
Washington,20-Mar,0.882835532,0.87886878,425612,-0.002,0.025,0.053
West Virginia,20-Mar,0.984277534,0.984217283,108124,-0.001,0.011,0.053
Wisconsin,20-Mar,1.040265551,1.037557715,197783,-0.005,0.01,0.032
Wyoming,20-Mar,0.972244671,0.967378495,253983,-0.002,0.025,0.051
