state,month,Rt_mean,Rt_median,Re_price,CPI_1mo,CPI_12mo,Ur_rate
Alabama,20-May,1.060943745,1.059232064,150206,-0.002,-0.004,0.079
Alaska,20-May,1.247915275,1.245627014,279986,0.001,0.008,0.116
Arizona,20-May,1.224718133,1.222154594,280304,0.001,0.008,0.106
Arkansas,20-May,1.133070361,1.128791635,133964,-0.002,-0.004,0.085
California,20-May,1.065609577,1.064606308,582013,0.001,0.008,0.156
Colorado,20-May,0.965332003,0.965982538,415481,0.001,0.008,0.116
Connecticut,20-May,0.816755079,0.81607391,262826,0.0,0.006,0.114
Delaware,20-May,0.968644162,0.966319496,262953,-0.002,-0.004,0.133
District of Columbia,20-May,0.787069175,0.784633583,654844,-0.002,-0.004,0.089
Florida,20-May,1.387498151,1.38394215,253830,-0.002,-0.004,0.142
Georgia,20-May,1.132906301,1.129409123,211063,-0.002,-0.004,0.094
Hawaii,20-May,1.39645655,1.394831528,658465,0.001,0.008,0.219
Idaho,20-May,1.225604442,1.223494001,305608,0.001,0.008,0.083
Illinois,20-May,0.816134636,0.815686833,209797,0.003,-0.004,0.154
Indiana,20-May,0.885665246,0.883452481,161449,0.003,-0.004,0.12
Iowa,20-May,1.010661318,1.010358242,155101,0.003,-0.004,0.083
Kansas,20-May,1.104127085,1.103893789,157819,0.003,-0.004,0.09
Kentucky,20-May,1.015143,1.013874056,152067,-0.002,-0.004,0.109
Louisiana,20-May,1.139136009,1.136321147,173894,-0.002,-0.004,0.131
Maine,20-May,0.945661288,0.946021996,254209,0.0,0.006,0.083
Maryland,20-May,0.854384785,0.851504586,318628,-0.002,-0.004,0.09
Massachusetts,20-May,0.750763403,0.748921774,438382,0.0,0.006,0.153
Michigan,20-May,1.100227371,1.095639752,180112,0.003,-0.004,0.208
Minnesota,20-May,0.931891678,0.930454241,266978,0.003,-0.004,0.113
Mississippi,20-May,1.175269427,1.17340995,129369,-0.002,-0.004,0.11
Missouri,20-May,1.13658146,1.132981998,169098,0.003,-0.004,0.096
Montana,20-May,1.488070937,1.482531058,299558,0.001,0.008,0.091
Nebraska,20-May,0.903997366,0.902487701,182880,0.003,-0.004,0.054
Nevada,20-May,1.361115069,1.360979657,314811,0.001,0.008,0.245
New Hampshire,20-May,0.868766053,0.864578369,304365,0.0,0.006,0.134
New Jersey,20-May,0.890830625,0.88835149,347313,0.0,0.006,0.165
New Mexico,20-May,1.026557888,1.025820288,211123,0.001,0.008,0.1
New York,20-May,0.893641339,0.892599385,329278,0.0,0.006,0.157
North Carolina,20-May,1.084892738,1.079022981,212888,-0.002,-0.004,0.135
North Dakota,20-May,0.938185376,0.938640524,234170,0.003,-0.004,0.087
Ohio,20-May,1.065737514,1.066103476,156118,0.003,-0.004,0.149
Oklahoma,20-May,1.298456936,1.29188432,135230,-0.002,-0.004,0.095
Oregon,20-May,1.320767383,1.320766792,375342,0.001,0.008,0.117
Pennsylvania,20-May,0.939359291,0.937015309,200192,0.0,0.006,0.135
Rhode Island,20-May,0.837236602,0.836264832,310297,0.0,0.006,0.129
South Carolina,20-May,1.324082161,1.324424345,196429,-0.002,-0.004,0.115
South Dakota,20-May,1.093428478,1.094864018,218704,0.003,-0.004,0.07
Tennessee,20-May,1.112595575,1.10911864,195479,-0.002,-0.004,0.096
Texas,20-May,1.184015431,1.18154041,212551,-0.002,-0.004,0.116
Utah,20-May,1.073041134,1.070242908,363338,0.001,0.008,0.076
Vermont,20-May,1.061668481,1.058259029,262229,0.0,0.006,0.093
Virginia,20-May,0.84208562,0.84064627,291528,-0.002,-0.004,0.085
Washington,20-May,1.164225954,1.163096615,431989,0.001,0.008,0.125
West Virginia,20-May,1.118313196,1.114282816,108532,-0.002,-0.004,0.119
Wisconsin,20-May,1.007460006,1.007313851,199758,0.003,-0.004,0.104
Wyoming,20-May,1.214562329,1.209747587,254579,0.001,0.008,0.085
