state,month,Rt_mean,Rt_median,Re_price,CPI_1mo,CPI_12mo,Ur_rate
Alabama,20-Nov,1.057968539,1.054684556,157059,-0.001,0.012,0.047
Alaska,20-Nov,0.868275517,0.86600801,283939,0.0,0.014,0.065
Arizona,20-Nov,1.048081108,1.044049165,302958,0.0,0.014,0.068
Arkansas,20-Nov,1.06594027,1.064134142,138618,-0.001,0.012,0.053
California,20-Nov,1.099775049,1.097408586,614392,0.0,0.014,0.087
Colorado,20-Nov,0.99548545,0.993734401,434662,0.0,0.014,0.069
Connecticut,20-Nov,0.994243887,0.990859681,280848,0.001,0.011,0.082
Delaware,20-Nov,1.047986869,1.045214716,277469,-0.001,0.012,0.058
District of Columbia,20-Nov,1.013060678,1.012655443,668106,-0.001,0.012,0.088
Florida,20-Nov,1.072968613,1.071912382,265055,-0.001,0.012,0.054
Georgia,20-Nov,1.093648941,1.09129147,221020,-0.001,0.012,0.056
Hawaii,20-Nov,1.086667209,1.027057044,674269,0.0,0.014,0.103
Idaho,20-Nov,1.021039181,1.021248875,334419,0.0,0.014,0.043
Illinois,20-Nov,0.938825531,0.937254458,217807,-0.002,0.01,0.081
Indiana,20-Nov,1.023594693,1.021232839,169142,-0.002,0.01,0.05
Iowa,20-Nov,0.985493674,0.98569711,158343,-0.002,0.01,0.039
Kansas,20-Nov,0.970315661,0.970900583,164485,-0.002,0.01,0.047
Kentucky,20-Nov,1.039233773,1.03785635,158223,-0.001,0.012,0.056
Louisiana,20-Nov,1.057840211,1.055767049,178309,-0.001,0.012,0.079
Maine,20-Nov,1.180976734,1.178701798,269331,0.001,0.011,0.049
Maryland,20-Nov,1.034678643,1.032968412,334398,-0.001,0.012,0.068
Massachusetts,20-Nov,1.076633101,1.073763969,463792,0.001,0.011,0.084
Michigan,20-Nov,0.932693527,0.927675101,189494,-0.002,0.01,0.082
Minnesota,20-Nov,0.915879521,0.914096425,277903,-0.002,0.01,0.05
Mississippi,20-Nov,1.042597906,1.040872743,132852,-0.001,0.012,0.067
Missouri,20-Nov,0.998515801,0.998763419,177685,-0.002,0.01,0.047
Montana,20-Nov,0.920223463,0.918213952,315337,0.0,0.014,0.045
Nebraska,20-Nov,0.976634134,0.973810729,190158,-0.002,0.01,0.034
Nevada,20-Nov,0.989710686,0.985746902,329567,0.0,0.014,0.087
New Hampshire,20-Nov,1.043365962,1.044035295,323886,0.001,0.011,0.042
New Jersey,20-Nov,0.994444522,0.990171338,368133,0.001,0.011,0.102
New Mexico,20-Nov,0.931498612,0.928883766,223230,0.0,0.014,0.085
New York,20-Nov,1.068523319,1.066541153,343512,0.001,0.011,0.087
North Carolina,20-Nov,1.048440522,1.047335955,223150,-0.001,0.012,0.064
North Dakota,20-Nov,0.881345682,0.87896013,237196,-0.002,0.01,0.047
Ohio,20-Nov,1.004938704,1.005566798,164710,-0.002,0.01,0.056
Oklahoma,20-Nov,1.029550038,1.025827306,140142,-0.001,0.012,0.048
Oregon,20-Nov,0.94847662,0.949177796,395599,0.0,0.014,0.066
Pennsylvania,20-Nov,1.044546356,1.043621742,210667,0.001,0.011,0.071
Rhode Island,20-Nov,0.967268464,0.964596406,329630,0.001,0.011,0.079
South Carolina,20-Nov,1.086590339,1.085693443,204845,-0.001,0.012,0.056
South Dakota,20-Nov,0.966255405,0.965301283,225226,-0.002,0.01,0.036
Tennessee,20-Nov,1.076878402,1.075526315,205362,-0.001,0.012,0.056
Texas,20-Nov,1.044885381,1.045153934,221361,-0.001,0.012,0.072
Utah,20-Nov,1.020875018,1.019950374,389388,0.0,0.014,0.035
Vermont,20-Nov,1.037699128,1.036711743,270584,0.001,0.011,0.037
Virginia,20-Nov,1.015119067,1.014815955,303301,-0.001,0.012,0.058
Washington,20-Nov,0.934715383,0.934459122,461376,0.0,0.014,0.067
West Virginia,20-Nov,1.102071601,1.098016915,111258,-0.001,0.012,0.07
Wisconsin,20-Nov,0.908814453,0.910494593,210014,-0.002,0.01,0.044
Wyoming,20-Nov,0.91038722,0.908747828,259312,0.0,0.014,0.053
