state,month,Rt_mean,Rt_median,Re_price,CPI_1mo,CPI_12mo,Ur_rate
Alabama,20-Oct,1.065128511,1.063858555,155690,0.001,0.013,0.047
Alaska,20-Oct,1.132017637,1.129112268,281413,0.002,0.012,0.065
Arizona,20-Oct,1.137974136,1.135631042,297926,0.002,0.012,0.068
Arkansas,20-Oct,1.053686396,1.051171457,137506,0.001,0.013,0.056
California,20-Oct,1.159515767,1.157292848,607419,0.002,0.012,0.098
Colorado,20-Oct,1.0422356,1.042023586,430285,0.002,0.012,0.069
Connecticut,20-Oct,1.17106644,1.16738972,276712,-0.002,0.011,0.082
Delaware,20-Oct,1.141686401,1.139958824,274606,0.001,0.013,0.057
District of Columbia,20-Oct,1.106822281,1.10670359,664152,0.001,0.013,0.088
Florida,20-Oct,1.045030332,1.040808744,262677,0.001,0.013,0.058
Georgia,20-Oct,1.037051271,1.034471549,218701,0.001,0.013,0.059
Hawaii,20-Oct,1.061215278,1.012197331,669306,0.002,0.012,0.103
Idaho,20-Oct,1.044093255,1.042796861,327383,0.002,0.012,0.048
Illinois,20-Oct,1.011071156,1.011595477,215900,-0.001,0.01,0.081
Indiana,20-Oct,1.057298112,1.05681419,167401,-0.001,0.01,0.056
Iowa,20-Oct,0.994008426,0.990398469,157503,-0.001,0.01,0.042
Kansas,20-Oct,1.047525795,1.047026196,162903,-0.001,0.01,0.047
Kentucky,20-Oct,1.107010087,1.105755313,156743,0.001,0.013,0.055
Louisiana,20-Oct,1.133736109,1.132275028,177354,0.001,0.013,0.079
Maine,20-Oct,1.186222685,1.1860001,265980,-0.002,0.011,0.048
Maryland,20-Oct,1.120358498,1.120574452,330810,0.001,0.013,0.068
Massachusetts,20-Oct,1.129826617,1.129530937,457983,-0.002,0.011,0.085
Michigan,20-Oct,1.104068127,1.101511088,187354,-0.001,0.01,0.081
Minnesota,20-Oct,1.05542329,1.055638621,275427,-0.001,0.01,0.053
Mississippi,20-Oct,1.019029388,1.014541117,132030,0.001,0.013,0.069
Missouri,20-Oct,1.088839035,1.088933175,175931,-0.001,0.01,0.05
Montana,20-Oct,0.9855392,0.984550465,311491,0.002,0.012,0.047
Nebraska,20-Oct,1.042393853,1.039981179,188382,-0.001,0.01,0.036
Nevada,20-Oct,1.12089696,1.120240647,326708,0.002,0.012,0.12
New Hampshire,20-Oct,1.272934249,1.271764009,319365,-0.002,0.011,0.047
New Jersey,20-Oct,1.123157464,1.120417574,363395,-0.002,0.011,0.077
New Mexico,20-Oct,1.140616529,1.13782689,220390,0.002,0.012,0.085
New York,20-Oct,1.172975715,1.173259589,340259,-0.002,0.011,0.087
North Carolina,20-Oct,1.06274164,1.060621046,221002,0.001,0.013,0.068
North Dakota,20-Oct,0.983204254,0.980330691,236017,-0.001,0.01,0.047
Ohio,20-Oct,1.15686993,1.156330723,162790,-0.001,0.01,0.056
Oklahoma,20-Oct,1.052910169,1.048097248,139221,0.001,0.013,0.052
Oregon,20-Oct,1.219036217,1.21909657,391030,0.002,0.012,0.07
Pennsylvania,20-Oct,1.163701816,1.165218059,208387,-0.002,0.011,0.07
Rhode Island,20-Oct,1.145462163,1.145068321,325388,-0.002,0.011,0.073
South Carolina,20-Oct,1.029208021,1.028221757,203068,0.001,0.013,0.054
South Dakota,20-Oct,0.959176971,0.957580354,223583,-0.001,0.01,0.037
Tennessee,20-Oct,1.07814931,1.074338515,203280,0.001,0.013,0.078
Texas,20-Oct,1.007239157,1.005919396,219232,0.001,0.013,0.073
Utah,20-Oct,1.049089633,1.047051134,383822,0.002,0.012,0.038
Vermont,20-Oct,1.154101242,1.150880794,268068,-0.002,0.011,0.04
Virginia,20-Oct,1.094686377,1.093583579,300614,0.001,0.013,0.061
Washington,20-Oct,1.169574741,1.16802613,455614,0.002,0.012,0.07
West Virginia,20-Oct,1.07018794,1.069002856,110399,0.001,0.013,0.074
Wisconsin,20-Oct,1.014557399,1.012083227,207800,-0.001,0.01,0.048
Wyoming,20-Oct,1.063795092,1.061609784,257947,0.002,0.012,0.054
