state,month,Rt_mean,Rt_median,Re_price,CPI_1mo,CPI_12mo,Ur_rate
Alabama,20-Sep,1.092640656,1.089937757,154307,0.002,0.013,0.067
Alaska,20-Sep,1.20046478,1.199733875,278899,0.0,0.016,0.07
Arizona,20-Sep,1.112137651,1.113686588,293384,0.0,0.016,0.069
Arkansas,20-Sep,1.06948718,1.065474217,136647,0.002,0.013,0.059
California,20-Sep,1.036160078,1.035218688,600506,0.0,0.016,0.106
Colorado,20-Sep,1.201390734,1.199428322,426283,0.0,0.016,0.07
Connecticut,20-Sep,1.225462369,1.223121788,272911,0.001,0.012,0.083
Delaware,20-Sep,1.020923723,1.020150813,271856,0.002,0.013,0.076
District of Columbia,20-Sep,1.044480189,1.046122463,661564,0.002,0.013,0.087
Florida,20-Sep,1.040602192,1.038671094,260325,0.002,0.013,0.072
Georgia,20-Sep,1.041038139,1.040685861,216779,0.002,0.013,0.065
Hawaii,20-Sep,1.036117647,1.022117643,665647,0.0,0.016,0.148
Idaho,20-Sep,1.08728084,1.082753159,321463,0.0,0.016,0.06
Illinois,20-Sep,1.178684391,1.178714557,214075,0.002,0.013,0.104
Indiana,20-Sep,1.128396445,1.125724423,165917,0.002,0.013,0.063
Iowa,20-Sep,1.122179929,1.119705633,156938,0.002,0.013,0.047
Kansas,20-Sep,1.12191743,1.122510441,161566,0.002,0.013,0.061
Kentucky,20-Sep,1.092665238,1.091069448,155468,0.002,0.013,0.055
Louisiana,20-Sep,1.043422773,1.04113736,176428,0.002,0.013,0.08
Maine,20-Sep,1.103545434,1.101005031,262687,0.001,0.012,0.049
Maryland,20-Sep,1.052530267,1.048495799,327545,0.002,0.013,0.07
Massachusetts,20-Sep,1.127741453,1.127788685,452475,0.001,0.012,0.089
Michigan,20-Sep,1.146717852,1.146266585,185209,0.002,0.013,0.082
Minnesota,20-Sep,1.163127824,1.159779262,273199,0.002,0.013,0.058
Mississippi,20-Sep,0.866668112,0.863429081,131319,0.002,0.013,0.072
Missouri,20-Sep,1.100737413,1.096819501,174266,0.002,0.013,0.054
Montana,20-Sep,1.15617397,1.152773097,308071,0.0,0.016,0.052
Nebraska,20-Sep,1.145608888,1.143299009,186809,0.002,0.013,0.038
Nevada,20-Sep,1.092514805,1.089362137,323647,0.0,0.016,0.13
New Hampshire,20-Sep,1.120557088,1.116195151,315139,0.001,0.012,0.055
New Jersey,20-Sep,1.161536448,1.160126387,358690,0.001,0.012,0.078
New Mexico,20-Sep,1.188924391,1.188355966,217989,0.0,0.016,0.086
New York,20-Sep,1.015749683,1.011141412,337195,0.001,0.012,0.1
North Carolina,20-Sep,1.019107538,1.017507714,218997,0.002,0.013,0.073
North Dakota,20-Sep,1.129417985,1.128351043,235304,0.002,0.013,0.047
Ohio,20-Sep,1.168324117,1.165311171,161103,0.002,0.013,0.074
Oklahoma,20-Sep,1.033847587,1.031410631,138298,0.002,0.013,0.057
Oregon,20-Sep,1.066705037,1.064339917,386910,0.0,0.016,0.075
Pennsylvania,20-Sep,1.113258154,1.111319166,206263,0.001,0.012,0.071
Rhode Island,20-Sep,1.212628704,1.21369143,320939,0.001,0.012,0.109
South Carolina,20-Sep,1.061806694,1.063011634,201408,0.002,0.013,0.054
South Dakota,20-Sep,1.15023608,1.148644476,222235,0.002,0.013,0.04
Tennessee,20-Sep,1.120536779,1.118024012,201478,0.002,0.013,0.079
Texas,20-Sep,1.008995948,1.009577386,217313,0.002,0.013,0.079
Utah,20-Sep,1.034165575,1.033805363,378476,0.0,0.016,0.042
Vermont,20-Sep,1.256355677,1.257692112,266316,0.001,0.012,0.046
Virginia,20-Sep,1.053584921,1.051638812,298432,0.002,0.013,0.066
Washington,20-Sep,1.09727831,1.091461937,449495,0.0,0.016,0.08
West Virginia,20-Sep,1.050827149,1.05056404,109898,0.002,0.013,0.079
Wisconsin,20-Sep,1.097872356,1.098732579,205917,0.002,0.013,0.052
Wyoming,20-Sep,1.223719807,1.217595011,257003,0.0,0.016,0.057
