state,month,Rt_mean,Rt_median,Re_price,CPI_1mo,CPI_12mo,Ur_rate
Alabama,21-Jan,0.950629158,0.933765211,159865,0.005,0.016,0.043
Alaska,21-Jan,0.806808592,0.798388402,287333,0.002,0.014,0.066
Arizona,21-Jan,0.960989482,0.956560479,314038,0.002,0.014,0.067
Arkansas,21-Jan,0.900516707,0.879486181,141002,0.005,0.016,0.046
California,21-Jan,0.809353862,0.802071494,628079,0.002,0.014,0.09
Colorado,21-Jan,0.924197701,0.916443257,443927,0.002,0.014,0.066
Connecticut,21-Jan,0.979303293,0.950796154,289220,0.004,0.011,0.081
Delaware,21-Jan,0.985335851,0.965442659,282953,0.005,0.016,0.061
District of Columbia,21-Jan,0.927965575,0.913226647,671644,0.005,0.016,0.084
Florida,21-Jan,0.986232892,0.977204784,270305,0.005,0.016,0.048
Georgia,21-Jan,0.839735468,0.827935506,226068,0.005,0.016,0.051
Hawaii,21-Jan,1.122314804,1.031299092,684721,0.002,0.014,0.103
Idaho,21-Jan,0.84033695,0.832184495,350717,0.002,0.014,0.035
Illinois,21-Jan,0.8524993,0.83301777,221372,0.005,0.012,0.077
Indiana,21-Jan,0.913157056,0.90332302,172916,0.005,0.012,0.042
Iowa,21-Jan,0.904466399,0.892002706,160120,0.005,0.012,0.036
Kansas,21-Jan,0.944165893,0.924828601,167737,0.005,0.012,0.034
Kentucky,21-Jan,0.945658236,0.942167716,160990,0.005,0.016,0.053
Louisiana,21-Jan,0.87387143,0.860012373,179812,0.005,0.016,0.076
Maine,21-Jan,0.981985092,0.969060105,276704,0.004,0.011,0.052
Maryland,21-Jan,0.970652758,0.958870281,341806,0.005,0.016,0.064
Massachusetts,21-Jan,0.914697986,0.908161946,474984,0.004,0.011,0.078
Michigan,21-Jan,0.933940196,0.9271436,193828,0.005,0.012,0.057
Minnesota,21-Jan,0.890910604,0.883370798,283092,0.005,0.012,0.045
Mississippi,21-Jan,1.006993898,0.980699546,134666,0.005,0.016,0.064
Missouri,21-Jan,0.872135527,0.852625619,181219,0.005,0.012,0.043
Montana,21-Jan,0.870864551,0.866196727,323852,0.002,0.014,0.04
Nebraska,21-Jan,0.792598132,0.777799618,193687,0.005,0.012,0.032
Nevada,21-Jan,0.938334845,0.928249449,335184,0.002,0.014,0.085
New Hampshire,21-Jan,0.995567851,0.983535106,333322,0.004,0.011,0.036
New Jersey,21-Jan,0.947735338,0.934764023,377346,0.004,0.011,0.078
New Mexico,21-Jan,0.841598089,0.826313389,228990,0.002,0.014,0.087
New York,21-Jan,0.926203579,0.905648108,349861,0.004,0.011,0.088
North Carolina,21-Jan,0.93459599,0.920201611,228263,0.005,0.016,0.059
North Dakota,21-Jan,0.981780946,0.968421678,239600,0.005,0.012,0.045
Ohio,21-Jan,0.870220042,0.86025232,168564,0.005,0.012,0.053
Oklahoma,21-Jan,0.999473483,0.98449472,142112,0.005,0.016,0.044
Oregon,21-Jan,0.871402073,0.857391833,404305,0.002,0.014,0.062
Pennsylvania,21-Jan,0.899886467,0.884423399,215502,0.004,0.011,0.073
Rhode Island,21-Jan,0.922569902,0.906702792,339454,0.004,0.011,0.072
South Carolina,21-Jan,0.867540623,0.855170619,208597,0.005,0.016,0.053
South Dakota,21-Jan,0.874119146,0.857414118,228597,0.005,0.012,0.031
Tennessee,21-Jan,0.883890785,0.873862062,209975,0.005,0.016,0.051
Texas,21-Jan,0.937858035,0.915605566,225752,0.005,0.016,0.068
Utah,21-Jan,0.921250179,0.916261904,401529,0.002,0.014,0.031
Vermont,21-Jan,1.146046534,1.138835734,276150,0.004,0.011,0.032
Virginia,21-Jan,1.015255082,1.003273026,309134,0.005,0.016,0.053
Washington,21-Jan,0.919229346,0.907129713,472028,0.002,0.014,0.06
West Virginia,21-Jan,0.933768786,0.924355132,112874,0.005,0.016,0.065
Wisconsin,21-Jan,0.827797196,0.815491734,214625,0.005,0.012,0.038
Wyoming,21-Jan,0.92809573,0.907931407,261890,0.002,0.014,0.051
