state,date,Rt_mean,Rt_median,Re_price,CPI_1mo,CPI_12mo,Ur_rate
Maine,3/31/2020,0.994578059,0.995253703,250383,-0.02,0.017,0.031
Maine,4/30/2020,1.069958278,1.067869686,252441,-0.004,0.008,0.091
Maine,5/31/2020,0.945661288,0.946021996,254209,0,0.006,0.083
Maine,6/30/2020,0.922168738,0.921079338,255653,0.003,0.008,0.053
Maine,7/31/2020,1.042730981,1.03902361,257305,0.004,0.011,0.088
Maine,8/31/2020,0.969476075,0.966450713,259742,0.001,0.011,0.052
Maine,9/30/2020,1.103545434,1.101005031,262687,0.001,0.012,0.049
Maine,10/31/2020,1.186222685,1.1860001,265980,-0.002,0.011,0.048
Maine,11/30/2020,1.180976734,1.178701798,269331,0.001,0.011,0.049
Maine,12/31/2020,0.967161975,0.966688988,272995,0.002,0.014,0.05
Maine,1/31/2021,0.981985092,0.969060105,276704,0.004,0.011,0.052
New Hampshire,2/29/2020,1.767439732,1.741404623,298335,0.003,0.024,0.026
New Hampshire,3/31/2020,1.132513365,1.130164269,300730,-0.02,0.017,0.027
New Hampshire,4/30/2020,0.933815657,0.93278722,302772,-0.004,0.008,0.16
New Hampshire,5/31/2020,0.868766053,0.864578369,304365,0,0.006,0.134
New Hampshire,6/30/2020,1.026986749,1.023478976,305927,0.003,0.008,0.103
New Hampshire,7/31/2020,0.938055936,0.936819428,308064,0.004,0.011,0.081
New Hampshire,8/31/2020,1.115951069,1.112855877,311294,0.001,0.011,0.066
New Hampshire,9/30/2020,1.120557088,1.116195151,315139,0.001,0.012,0.055
New Hampshire,10/31/2020,1.272934249,1.271764009,319365,-0.002,0.011,0.047
New Hampshire,11/30/2020,1.043365962,1.044035295,323886,0.001,0.011,0.042
New Hampshire,12/31/2020,0.964384694,0.962623777,328724,0.002,0.014,0.038
New Hampshire,1/31/2021,0.995567851,0.983535106,333322,0.004,0.011,0.036
Vermont,3/31/2020,0.710502443,0.708725705,260891,-0.02,0.017,0.026
